Serial Number:,DEN1I104,,,,,,,,
APP Serial #,4000695,,,,,,,,
APP Ver:,  R1-6-3,,,,,,,,
COM Ver:,   R2-6-1,,,,,,,,
Instrument Name:,tulipdendro                 ,,,,,,,,
Comment:,                            ,,,,,,,,
Channel,Slope,Intercept,,,,,,,
Chan1,1,0,,,,,,,
Chan2,1,0,,,,,,,
Chan3,1,0,,,,,,,
Chan4,1,0,,,,,,,
Chan5,1,0,,,,,,,
,,,,,,,,,
Date,Time,Chan1 (mm ),Chan1 (mV),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message
28/05/2020,10:00:12,193.684,0,4.2,19.29,present ,11.4,43.2,
28/05/2020,10:10:13,193.684,0,4.2,19.79,present ,11.4,43.5,
28/05/2020,10:20:13,193.683,0,4.2,20.1,present ,11.4,43.5,
28/05/2020,10:30:13,193.683,0,4.2,20.2,present ,11.4,43.5,
28/05/2020,10:40:13,193.683,0,4.2,20.5,present ,11.4,42.9,
28/05/2020,10:50:13,193.684,0,4.21,20.7,present ,11.4,43.5,
28/05/2020,11:00:13,193.683,-0.001,4.21,20.7,present ,11.4,43.2,
28/05/2020,11:10:13,193.683,0,4.21,20.9,present ,11.4,43.5,
28/05/2020,11:20:13,193.683,0,4.21,20.9,present ,11.4,42.9,
28/05/2020,11:30:13,193.684,0,4.21,21.1,present ,11.4,43.2,
28/05/2020,11:40:13,193.683,-0.001,4.21,21.7,present ,11.36,43.2,
28/05/2020,11:50:13,193.684,0,4.22,21.9,present ,11.36,43.2,
28/05/2020,12:00:13,193.683,-0.001,4.22,22.5,present ,11.36,43.2,
28/05/2020,12:10:12,193.683,0,4.22,22.8,present ,11.37,43.8,
28/05/2020,12:20:12,193.683,0,4.22,23.4,present ,11.4,43.5,
28/05/2020,12:30:12,193.683,0,4.22,23.6,present ,11.4,43.5,
28/05/2020,12:40:12,193.683,0,4.22,23.4,present ,11.4,43.2,
28/05/2020,12:50:13,193.683,-0.001,4.22,22.7,present ,11.4,43.2,
28/05/2020,13:00:13,193.683,0,4.22,22.9,present ,11.4,43.8,
28/05/2020,13:10:13,193.683,0,4.22,23.6,present ,11.37,43.8,
28/05/2020,13:20:13,193.684,0,4.22,23.7,present ,11.37,43.8,
28/05/2020,13:30:13,193.684,0,4.22,23.8,present ,11.4,43.2,
28/05/2020,13:40:13,193.683,-0.001,4.22,23.5,present ,11.4,43.5,
28/05/2020,13:50:13,193.684,0,4.22,23.5,present ,11.4,43.2,
28/05/2020,14:00:13,193.683,0,4.22,23.8,present ,11.4,43.5,
28/05/2020,14:10:13,193.683,0,4.22,23.9,present ,11.4,43.2,
28/05/2020,14:20:13,193.684,0,4.22,24.3,present ,11.4,43.5,
28/05/2020,14:30:13,193.684,0,4.2,24.4,present ,11.4,43.2,
28/05/2020,14:40:13,193.683,0,4.2,24,present ,11.4,43.5,
28/05/2020,14:50:12,193.683,0,4.22,23.9,present ,11.37,43.8,
28/05/2020,15:00:12,193.683,-0.001,4.22,24.2,present ,11.4,43.8,
28/05/2020,15:10:12,193.683,-0.001,4.22,24.6,present ,11.44,43.2,
28/05/2020,15:20:12,193.684,0,4.22,25.3,present ,11.37,44.1,
28/05/2020,15:30:12,193.683,0,4.23,25.7,present ,11.37,43.5,
28/05/2020,15:40:13,193.684,0,4.23,25.9,present ,13.3,37.2,
28/05/2020,15:50:13,193.683,0,4.23,26.1,present ,11.78,42.3,
28/05/2020,16:00:13,193.684,0,4.22,25.8,present ,11.68,42.3,
28/05/2020,16:10:13,193.683,-0.001,4.22,24.9,present ,11.58,42.9,
28/05/2020,16:20:13,193.683,-0.001,4.22,24.2,present ,11.54,42.6,
28/05/2020,16:30:13,193.683,0,4.22,23.9,present ,11.47,43.2,
28/05/2020,16:40:13,193.683,-0.001,4.22,23.8,present ,11.47,42.9,
28/05/2020,16:50:13,193.684,0,4.22,23.4,present ,11.43,42.9,
28/05/2020,17:00:13,193.683,0,4.22,23,present ,11.43,42.9,
28/05/2020,17:10:13,193.683,0,4.22,22.9,present ,11.4,42.9,
28/05/2020,17:20:12,193.683,0,4.22,22.9,present ,11.4,43.5,
28/05/2020,17:30:13,193.683,0,4.22,22.9,present ,11.4,43.2,
28/05/2020,17:40:13,193.683,0,4.22,23.8,present ,11.4,43.8,
28/05/2020,17:50:12,193.683,0,4.22,23.7,present ,11.4,43.2,
28/05/2020,18:00:12,193.683,0,4.2,22.2,present ,11.4,43.2,
28/05/2020,18:10:12,193.684,0,4.2,21,present ,11.4,42.6,
28/05/2020,18:20:13,193.684,0,4.2,20.6,present ,11.4,42.9,
28/05/2020,18:30:13,193.683,-0.001,4.2,19.9,present ,11.4,42.6,
28/05/2020,18:40:13,193.684,0,4.19,19,present ,11.39,42.3,
28/05/2020,18:50:13,193.684,0,4.17,17.4,present ,11.39,42,
28/05/2020,19:00:13,193.683,0,4.16,16.6,present ,11.4,42.6,
28/05/2020,19:10:13,193.683,0,4.16,16.29,present ,11.36,42.3,
28/05/2020,19:20:13,193.683,0,4.16,16.29,present ,11.36,42.6,
28/05/2020,19:30:13,193.684,0,4.16,16.29,present ,11.36,42.9,
28/05/2020,19:40:13,193.683,0,4.16,16.29,present ,11.36,42.6,
28/05/2020,19:50:13,193.684,0,4.16,16.4,present ,11.36,43.2,
28/05/2020,20:00:13,193.683,-0.001,4.16,16.5,present ,11.36,42.6,
28/05/2020,20:10:13,193.683,-0.001,4.16,16.5,present ,11.36,43.2,
28/05/2020,20:20:13,193.684,0,4.16,16.2,present ,11.36,42.9,
28/05/2020,20:30:13,193.683,0,4.16,16.2,present ,11.36,42.9,
28/05/2020,20:40:12,193.683,0,4.16,16.1,present ,11.36,43.2,
28/05/2020,20:50:12,193.683,-0.001,4.16,16.1,present ,11.33,43.2,
